iter	SMAPE	RMSE
0	59.80299336	104050.138
1	58.99470142	102858.5854
2	58.2269314	101734.4521
3	57.50952972	100654.4837
4	56.79518674	99601.66194
5	56.04702966	98545.38559
6	55.40740387	97549.80689
7	54.7992185	96629.46806
8	54.23953012	95777.36863
9	53.7292988	94912.37077
10	53.17226269	94059.13309
11	52.58684753	93230.23001
12	52.07845436	92459.16743
13	51.49992879	91644.40747
14	50.96522677	90921.45098
15	50.50126901	90227.58475
16	50.05456908	89556.19361
17	49.57214434	88865.46394
18	49.0761342	88201.59889
19	48.51747243	87480.22253
20	48.10652691	86886.06027
21	47.63263266	86269.98519
22	47.1501089	85640.49157
23	46.85341944	85125.84426
24	46.49065452	84606.91396
25	46.08620524	84078.878
26	45.66130814	83559.90608
27	45.36368105	83103.78093
28	44.98602466	82639.11379
29	44.69312446	82190.99249
30	44.43177544	81798.62864
31	44.07411969	81366.79272
32	43.76664309	80950.64584
33	43.47870042	80556.31067
34	43.14677469	80153.56476
35	42.8061188	79771.12689
36	42.45301626	79366.20322
37	42.23823307	79048.29842
38	42.06766515	78748.26586
39	41.78455206	78423.97402
40	41.61782327	78149.53509
41	41.33683335	77814.34226
42	41.05044361	77438.11057
43	40.83148866	77180.7715
44	40.62349851	76849.82309
45	40.42847425	76580.4465
46	40.24761536	76285.1953
47	40.11423581	76023.98789
48	39.9002017	75768.23305
49	39.71628763	75521.30289
50	39.5480549	75321.01385
51	39.39643999	75091.53693
52	39.12535125	74785.12933
53	38.975723	74552.67759
54	38.71498312	74271.8862
55	38.55768214	74053.23046
56	38.41220334	73827.14354
57	38.27425638	73636.44093
58	38.15507148	73464.43893
59	38.02536592	73304.10549
60	37.8884897	73082.33355
61	37.72523833	72898.41622
62	37.58665352	72704.29128
63	37.51739724	72559.20775
64	37.47088601	72416.55145
65	37.23751789	72200.46811
66	37.10441034	71994.15637
67	37.00514709	71851.64726
68	36.77939243	71604.65134
69	36.56446468	71358.10645
70	36.48872604	71206.35681
71	36.45743967	71080.6756
72	36.26348229	70904.14042
73	36.08876559	70718.59839
74	36.0003624	70577.60439
75	35.94106566	70463.71055
76	35.73446175	70242.3063
77	35.67238471	70119.01981
78	35.60138737	70000.54915
79	35.41600796	69841.80743
80	35.41439286	69795.85117
81	35.3351765	69683.08205
82	35.29003418	69564.05197
83	35.26185365	69468.53338
84	35.15375791	69280.39006
85	35.1509979	69246.19539
86	35.08260062	69084.20624
87	35.08051136	69032.61173
88	34.92738886	68878.03771
89	34.72454109	68731.73672
90	34.56282966	68589.73896
91	34.35900564	68455.35774
92	34.22343772	68303.11909
93	34.08155832	68164.46788
94	33.93798945	68044.19887
95	33.79148288	67902.56287
96	33.78128675	67820.92013
97	33.68447014	67697.13731
98	33.54809109	67552.70544
99	33.52118063	67454.02963
100	33.45884913	67366.68526
101	33.32240233	67275.43121
102	33.21147624	67150.52453
103	33.1052707	67034.48996
104	33.00310285	66896.03974
105	32.88855366	66782.4513
106	32.77324328	66633.40019
107	32.74546918	66554.25571
108	32.64289519	66423.44966
109	32.63595541	66352.22551
110	32.60129193	66267.8961
111	32.50425602	66144.12768
112	32.49895027	66108.3065
113	32.49506692	66058.53942
114	32.38626537	65950.00014
115	32.35098138	65877.67023
116	32.30465247	65819.07693
117	32.25600372	65733.74223
118	32.25445935	65705.41649
119	32.14693529	65598.01844
120	32.14157792	65548.32658
121	32.11039674	65474.02802
122	32.09001663	65377.33398
123	32.02783728	65261.13074
124	31.94708534	65188.64925
125	31.93672923	65132.92973
126	31.93419137	65095.70355
127	31.8924554	65026.92909
128	31.81437796	64902.14039
129	31.80139063	64827.72006
130	31.75913917	64761.69329
131	31.75099576	64733.82932
132	31.71485057	64602.95526
133	31.63384779	64493.3871
134	31.59493488	64420.72629
135	31.53518131	64343.89402
136	31.39576955	64252.85208
137	31.36934942	64179.71488
138	31.31475088	64071.23022
139	31.3138315	64049.83156
140	31.31313733	64029.21213
141	31.29365651	63958.66586
142	31.29187682	63934.53503
143	31.20492517	63802.35937
144	31.20478426	63781.42541
145	31.19969291	63739.073
146	31.09384771	63646.92511
147	31.06865997	63597.49104
148	31.03209524	63506.8769
149	31.01052405	63421.85332
150	30.94052732	63316.59342
151	30.88321356	63236.39293
152	30.85953676	63091.86027
153	30.85633099	63065.54882
154	30.83306057	62989.73651
155	30.82474252	62945.86047
156	30.82642855	62931.34761
157	30.82871029	62919.20381
158	30.75335554	62790.28873
159	30.75353254	62758.55624
160	30.73366876	62684.14756
161	30.73073916	62655.42217
162	30.65922374	62590.4616
163	30.65934443	62571.54007
164	30.65911558	62553.93504
165	30.63060679	62460.37056
166	30.59573055	62301.97462
167	30.58951386	62245.02486
168	30.53399364	62154.47401
169	30.46879308	62024.08757
170	30.45659328	61979.95204
171	30.4549368	61966.99571
172	30.45491026	61949.38732
173	30.42926709	61887.64916
174	30.40047143	61819.77384
175	30.37902659	61718.16979
176	30.38021365	61697.86441
177	30.36502264	61589.15294
178	30.3311223	61508.58925
179	30.26764714	61421.0968
180	30.2521946	61335.31013
181	30.20141085	61251.25343
182	30.15423183	61171.41682
183	30.15571428	61155.98136
184	30.15417463	61132.9529
185	30.14865329	61104.10221
186	30.12074535	61022.77592
187	30.07279676	60965.6032
188	30.03390252	60883.62267
189	30.02452804	60802.73416
190	29.9776369	60734.78845
191	29.97780124	60720.31191
192	29.96855529	60667.95494
193	29.94744801	60610.00477
194	29.93357334	60507.99083
195	29.92162692	60418.12984
196	29.88199662	60355.24507
197	29.8416728	60291.08902
198	29.84294842	60277.92257
199	29.83124433	60176.58423
200	29.81174012	60109.68948
201	29.78996859	60068.57739
202	29.79047875	60057.19858
203	29.78943888	60037.96201
204	29.74258396	59974.23718
205	29.74219449	59962.44251
206	29.73038497	59887.84247
207	29.71598213	59854.92248
208	29.69909398	59810.1607
209	29.69872595	59790.09374
210	29.69301745	59746.92483
211	29.67397399	59631.7589
212	29.66563099	59567.11594
213	29.65111076	59515.44906
214	29.65155861	59504.15481
215	29.64516143	59435.40883
216	29.63005041	59384.89672
217	29.62084958	59336.96111
218	29.61931547	59306.36797
219	29.58129461	59238.47692
220	29.57289285	59196.09748
221	29.56976887	59165.59513
222	29.5698265	59154.58323
223	29.54946926	59121.22398
224	29.48361743	59056.21513
225	29.47410634	59030.80743
226	29.44963386	58936.43904
227	29.4420053	58904.60517
228	29.43758104	58847.03054
229	29.4221388	58789.55862
230	29.4168808	58752.78584
231	29.41040458	58679.89121
232	29.39340443	58653.59786
233	29.38432485	58598.76776
234	29.36403363	58517.83377
235	29.33871366	58430.2381
236	29.33480856	58374.94471
