iter	Passed	Remaining
0	40	160294
1	68	137807
2	87	116418
3	109	108990
4	128	103039
5	153	102149
6	172	98679
7	193	96498
8	214	94965
9	231	92327
10	251	91186
11	269	89567
12	286	87875
13	302	86012
14	318	84651
15	351	87593
16	416	97532
17	444	98395
18	466	97811
19	489	97385
20	509	96449
21	533	96444
22	553	95732
23	572	94815
24	592	94136
25	610	93386
26	634	93393
27	652	92571
28	670	91835
29	687	90959
30	704	90192
31	722	89589
32	744	89485
33	765	89334
34	784	88842
35	802	88392
36	820	87905
37	837	87370
38	862	87582
39	889	88073
40	915	88405
41	945	89133
42	974	89702
43	1002	90141
44	1027	90272
45	1051	90418
46	1080	90890
47	1109	91307
48	1130	91171
49	1153	91130
50	1176	91133
51	1205	91556
52	1230	91670
53	1251	91426
54	1300	93292
55	1375	96865
56	1418	98096
57	1448	98451
58	1487	99348
59	1517	99658
60	1555	100467
61	1587	100819
62	1610	100667
63	1638	100741
64	1665	100809
65	1688	100642
66	1707	100254
67	1725	99778
68	1744	99407
69	1762	98967
70	1779	98469
71	1797	98044
72	1814	97626
73	1836	97425
74	1853	97007
75	1868	96476
76	1886	96096
77	1905	95832
78	1921	95378
79	1938	94971
80	1953	94516
81	1968	94057
82	1984	93655
83	1999	93230
84	2015	92829
85	2030	92402
86	2045	92017
87	2060	91583
88	2077	91278
89	2093	90941
90	2108	90572
91	2125	90273
92	2138	89846
93	2153	89500
94	2167	89106
95	2181	88729
96	2197	88404
97	2211	88072
98	2229	87867
99	2246	87595
100	2262	87336
101	2280	87136
102	2294	86814
103	2308	86476
104	2323	86197
105	2338	85924
106	2353	85638
107	2368	85363
108	2384	85113
109	2398	84808
110	2412	84533
111	2436	84591
112	2483	85421
113	2500	85219
114	2516	85021
115	2537	84975
116	2555	84815
117	2573	84655
118	2591	84523
119	2608	84347
120	2630	84335
121	2653	84331
122	2671	84201
123	2688	84034
124	2704	83846
125	2721	83674
126	2740	83568
127	2755	83364
128	2772	83194
129	2805	83529
130	2864	84588
131	2893	84801
132	2915	84759
133	2933	84619
134	2946	84370
135	2965	84260
136	2980	84049
137	2997	83898
138	3015	83748
139	3030	83554
140	3045	83343
141	3060	83153
142	3076	82973
143	3093	82823
144	3107	82613
145	3122	82414
146	3139	82278
147	3155	82117
148	3171	81979
149	3190	81885
150	3206	81744
151	3224	81634
152	3245	81602
153	3262	81468
154	3277	81306
155	3294	81189
156	3310	81036
157	3332	81044
158	3372	81480
159	3391	81406
160	3413	81392
161	3431	81290
162	3450	81220
163	3468	81122
164	3491	81145
165	3509	81062
166	3528	80987
167	3544	80848
168	3562	80758
169	3579	80644
170	3596	80538
171	3613	80421
172	3631	80325
173	3648	80235
174	3666	80128
175	3682	80010
176	3697	79871
177	3718	79848
178	3742	79886
179	3764	79900
180	3785	79869
181	3805	79837
182	3825	79789
183	3842	79686
184	3860	79617
185	3877	79519
186	3895	79438
187	3913	79352
188	3931	79265
189	3948	79178
190	3965	79078
191	3981	78956
192	4001	78923
193	4023	78944
194	4043	78896
195	4061	78827
196	4077	78722
197	4095	78633
198	4114	78595
199	4136	78586
200	4154	78528
201	4174	78487
202	4194	78453
203	4212	78378
204	4230	78317
205	4247	78226
206	4263	78121
207	4279	78023
208	4294	77888
209	4310	77801
210	4327	77715
211	4344	77632
212	4361	77543
213	4379	77471
214	4395	77373
215	4409	77243
216	4424	77139
217	4442	77065
